filename,label,x_min,y_min,x_max,y_max,color,number
064731.jpg,1,972,316,986,330,-1,-1
064731.jpg,0,1562,295,1623,363,0,1
064731.jpg,0,1178,287,1230,377,0,2
064731.jpg,0,1156,378,1223,489,0,3
064731.jpg,0,1357,281,1411,359,0,4
064731.jpg,0,1357,253,1406,320,0,5
064731.jpg,0,360,283,417,350,3,1
064731.jpg,0,1094,181,1127,240,3,2
064731.jpg,0,937,263,969,347,3,3
064731.jpg,0,1258,430,1351,542,3,4
064731.jpg,0,428,296,490,375,3,5
064765.jpg,1,972,316,986,330,-1,-1
064765.jpg,0,1562,295,1623,363,0,1
064765.jpg,0,1177,287,1230,377,0,2
064765.jpg,0,1156,378,1223,489,0,3
064765.jpg,0,1357,281,1412,359,0,4
064765.jpg,0,1357,253,1406,320,0,5
064765.jpg,0,360,283,417,350,3,1
064765.jpg,0,1095,181,1127,240,3,2
064765.jpg,0,937,263,969,347,3,3
064765.jpg,0,1258,429,1350,542,3,4
064765.jpg,0,428,296,490,375,3,5
064798.jpg,1,972,316,986,330,-1,-1
064798.jpg,0,1562,295,1622,363,0,1
064798.jpg,0,1177,287,1230,377,0,2
064798.jpg,0,1156,378,1223,489,0,3
064798.jpg,0,1357,281,1413,359,0,4
064798.jpg,0,1357,253,1407,320,0,5
064798.jpg,0,360,283,417,350,3,1
064798.jpg,0,1095,181,1127,240,3,2
064798.jpg,0,937,263,969,347,3,3
064798.jpg,0,1258,428,1349,542,3,4
064798.jpg,0,428,296,490,375,3,5
064831.jpg,1,972,316,986,330,-1,-1
064831.jpg,0,1562,295,1622,363,0,1
064831.jpg,0,1177,287,1230,377,0,2
064831.jpg,0,1156,378,1223,489,0,3
064831.jpg,0,1357,281,1414,359,0,4
064831.jpg,0,1357,253,1407,320,0,5
064831.jpg,0,360,283,417,350,3,1
064831.jpg,0,1096,181,1127,240,3,2
064831.jpg,0,937,263,969,347,3,3
064831.jpg,0,1258,428,1349,542,3,4
064831.jpg,0,428,296,490,375,3,5
064865.jpg,1,972,316,986,330,-1,-1
064865.jpg,0,1562,295,1622,363,0,1
064865.jpg,0,1177,287,1230,377,0,2
064865.jpg,0,1156,378,1223,489,0,3
064865.jpg,0,1357,281,1415,359,0,4
064865.jpg,0,1357,253,1408,320,0,5
064865.jpg,0,360,283,417,350,3,1
064865.jpg,0,1098,181,1127,240,3,2
064865.jpg,0,937,263,970,347,3,3
064865.jpg,0,1258,428,1349,542,3,4
064865.jpg,0,428,296,490,375,3,5
064898.jpg,1,972,316,986,330,-1,-1
064898.jpg,0,1562,295,1622,363,0,1
064898.jpg,0,1177,287,1230,377,0,2
064898.jpg,0,1156,378,1223,489,0,3
064898.jpg,0,1357,281,1415,359,0,4
064898.jpg,0,1357,253,1408,320,0,5
064898.jpg,0,360,283,417,350,3,1
064898.jpg,0,1100,181,1127,240,3,2
064898.jpg,0,938,263,971,347,3,3
064898.jpg,0,1258,428,1349,542,3,4
064898.jpg,0,428,296,490,375,3,5
064932.jpg,1,972,316,986,330,-1,-1
064932.jpg,0,1562,295,1622,363,0,1
064932.jpg,0,1176,287,1230,377,0,2
064932.jpg,0,1156,378,1223,489,0,3
064932.jpg,0,1358,281,1416,359,0,4
064932.jpg,0,1357,253,1408,320,0,5
064932.jpg,0,360,283,417,350,3,1
064932.jpg,0,1103,181,1128,240,3,2
064932.jpg,0,939,263,972,347,3,3
064932.jpg,0,1258,428,1350,542,3,4
064932.jpg,0,428,296,490,375,3,5
064965.jpg,1,972,316,986,330,-1,-1
064965.jpg,0,1562,295,1621,363,0,1
064965.jpg,0,1176,287,1230,377,0,2
064965.jpg,0,1156,378,1223,489,0,3
064965.jpg,0,1360,281,1416,359,0,4
064965.jpg,0,1358,253,1409,320,0,5
064965.jpg,0,360,283,417,350,3,1
064965.jpg,0,1101,181,1128,240,3,2
064965.jpg,0,940,263,973,347,3,3
064965.jpg,0,1258,428,1351,542,3,4
064965.jpg,0,428,296,490,375,3,5
064998.jpg,1,972,316,986,330,-1,-1
064998.jpg,0,1562,295,1621,363,0,1
064998.jpg,0,1176,287,1229,377,0,2
064998.jpg,0,1156,378,1223,489,0,3
064998.jpg,0,1362,281,1416,359,0,4
064998.jpg,0,1359,253,1409,320,0,5
064998.jpg,0,360,283,417,350,3,1
