filename,label,x_min,y_min,x_max,y_max,color,number
354821.jpg,0,0,567,103,658,0,4
354821.jpg,0,261,210,326,277,0,1
354821.jpg,0,448,206,520,292,0,3
354821.jpg,0,652,112,695,180,0,5
354821.jpg,0,681,142,733,226,0,2
354821.jpg,0,990,135,1019,220,2,4
354821.jpg,0,1046,235,1094,348,2,3
354821.jpg,0,1126,140,1165,223,2,5
354821.jpg,0,1480,196,1544,273,2,2
354821.jpg,0,1553,188,1619,256,2,1
354821.jpg,1,948,200,965,216,-1,-1
354855.jpg,0,0,567,103,658,0,4
354855.jpg,0,262,210,326,277,0,1
354855.jpg,0,447,206,520,292,0,3
354855.jpg,0,652,112,695,180,0,5
354855.jpg,0,681,142,733,226,0,2
354855.jpg,0,990,134,1019,220,2,4
354855.jpg,0,1046,236,1093,347,2,3
354855.jpg,0,1126,140,1165,223,2,5
354855.jpg,0,1480,196,1544,273,2,2
354855.jpg,0,1553,188,1618,256,2,1
354855.jpg,1,948,200,965,217,-1,-1
354888.jpg,0,0,567,103,658,0,4
354888.jpg,0,262,209,326,277,0,1
354888.jpg,0,448,207,520,293,0,3
354888.jpg,0,652,112,694,180,0,5
354888.jpg,0,681,142,733,226,0,2
354888.jpg,0,990,134,1018,220,2,4
354888.jpg,0,1047,236,1093,347,2,3
354888.jpg,0,1126,140,1166,223,2,5
354888.jpg,0,1480,196,1544,273,2,2
354888.jpg,0,1553,187,1619,255,2,1
354888.jpg,1,948,200,965,217,-1,-1
354922.jpg,0,0,567,103,658,0,4
354922.jpg,0,262,209,326,277,0,1
354922.jpg,0,448,208,520,293,0,3
354922.jpg,0,652,112,695,180,0,5
354922.jpg,0,681,142,733,226,0,2
354922.jpg,0,989,134,1018,221,2,4
354922.jpg,0,1046,236,1094,347,2,3
354922.jpg,0,1126,140,1166,224,2,5
354922.jpg,0,1480,196,1544,273,2,2
354922.jpg,0,1553,187,1619,255,2,1
354922.jpg,1,948,201,964,217,-1,-1
354955.jpg,0,0,567,103,658,0,4
354955.jpg,0,262,209,326,277,0,1
354955.jpg,0,448,208,519,293,0,3
354955.jpg,0,652,112,695,180,0,5
354955.jpg,0,681,142,733,226,0,2
354955.jpg,0,989,134,1018,221,2,4
354955.jpg,0,1046,238,1094,348,2,3
354955.jpg,0,1126,140,1166,224,2,5
354955.jpg,0,1481,196,1544,273,2,2
354955.jpg,0,1553,187,1619,255,2,1
354955.jpg,1,949,201,964,217,-1,-1
354988.jpg,0,0,567,103,658,0,4
354988.jpg,0,262,209,326,277,0,1
354988.jpg,0,448,208,519,294,0,3
354988.jpg,0,652,112,695,180,0,5
354988.jpg,0,681,142,733,226,0,2
354988.jpg,0,989,134,1018,221,2,4
354988.jpg,0,1046,238,1094,348,2,3
354988.jpg,0,1126,141,1166,223,2,5
354988.jpg,0,1481,196,1543,273,2,2
354988.jpg,0,1553,187,1618,255,2,1
354988.jpg,1,949,201,964,217,-1,-1
355022.jpg,0,0,567,103,658,0,4
355022.jpg,0,261,210,326,277,0,1
355022.jpg,0,448,208,518,294,0,3
355022.jpg,0,652,112,695,180,0,5
355022.jpg,0,681,142,733,226,0,2
355022.jpg,0,989,133,1018,219,2,4
355022.jpg,0,1047,238,1094,348,2,3
355022.jpg,0,1126,141,1166,223,2,5
355022.jpg,0,1480,196,1543,273,2,2
355022.jpg,0,1553,186,1618,255,2,1
355022.jpg,1,949,201,964,217,-1,-1
355055.jpg,0,0,567,103,658,0,4
355055.jpg,0,260,210,326,277,0,1
355055.jpg,0,448,208,516,294,0,3
355055.jpg,0,652,112,695,180,0,5
355055.jpg,0,681,142,733,226,0,2
355055.jpg,0,989,133,1018,219,2,4
355055.jpg,0,1047,237,1093,347,2,3
355055.jpg,0,1125,141,1166,223,2,5
355055.jpg,0,1480,195,1542,273,2,2
355055.jpg,0,1553,187,1619,255,2,1
355055.jpg,1,949,201,964,217,-1,-1
355088.jpg,0,0,567,103,658,0,4
355088.jpg,0,259,210,326,277,0,1
355088.jpg,0,448,208,514,294,0,3
355088.jpg,0,652,112,695,180,0,5
355088.jpg,0,681,142,733,226,0,2
355088.jpg,0,989,133,1018,219,2,4
355088.jpg,0,1047,238,1093,347,2,3
355088.jpg,0,1126,141,1166,223,2,5
355088.jpg,0,1480,195,1541,273,2,2
355088.jpg,0,1553,186,1618,255,2,1
355088.jpg,1,949,201,965,217,-1,-1
355122.jpg,0,0,567,103,658,0,4
355122.jpg,0,258,210,326,277,0,1
355122.jpg,0,447,208,512,294,0,3
355122.jpg,0,652,112,695,180,0,5
355122.jpg,0,681,142,733,226,0,2
355122.jpg,0,989,133,1018,219,2,4
355122.jpg,0,1046,237,1092,347,2,3
355122.jpg,0,1126,141,1166,224,2,5
355122.jpg,0,1480,194,1540,273,2,2
355122.jpg,0,1553,187,1619,255,2,1
355122.jpg,1,949,201,965,217,-1,-1
355155.jpg,0,0,567,103,658,0,4
355155.jpg,0,258,210,327,277,0,1
355155.jpg,0,447,208,511,294,0,3
355155.jpg,0,652,112,695,180,0,5
355155.jpg,0,681,142,733,226,0,2
355155.jpg,0,989,134,1018,220,2,4
355155.jpg,0,1046,237,1091,347,2,3
355155.jpg,0,1127,141,1166,224,2,5
355155.jpg,0,1480,194,1541,272,2,2
355155.jpg,0,1553,187,1619,255,2,1
355155.jpg,1,949,200,965,217,-1,-1
355189.jpg,0,0,567,103,658,0,4
355189.jpg,0,258,210,327,277,0,1
355189.jpg,0,447,208,510,294,0,3
355189.jpg,0,652,112,695,180,0,5
355189.jpg,0,681,142,733,226,0,2
355189.jpg,0,989,137,1018,222,2,4
355189.jpg,0,1045,236,1090,347,2,3
355189.jpg,0,1127,142,1165,224,2,5
355189.jpg,0,1480,194,1541,271,2,2
355189.jpg,0,1553,187,1619,255,2,1
355189.jpg,1,948,200,964,217,-1,-1
355222.jpg,0,0,567,103,658,0,4
355222.jpg,0,258,210,326,277,0,1
355222.jpg,0,447,207,510,294,0,3
355222.jpg,0,652,112,695,180,0,5
355222.jpg,0,681,142,733,226,0,2
355222.jpg,0,989,135,1018,220,2,4
355222.jpg,0,1045,235,1090,348,2,3
355222.jpg,0,1127,141,1166,224,2,5
355222.jpg,0,1480,194,1541,271,2,2
355222.jpg,0,1553,187,1619,255,2,1
355222.jpg,1,948,200,964,217,-1,-1
355255.jpg,0,0,567,103,658,0,4
355255.jpg,0,258,210,326,277,0,1
355255.jpg,0,447,206,510,294,0,3
355255.jpg,0,652,112,695,180,0,5
355255.jpg,0,681,142,733,226,0,2
355255.jpg,0,989,136,1018,222,2,4
355255.jpg,0,1045,234,1089,348,2,3
355255.jpg,0,1127,141,1166,224,2,5
355255.jpg,0,1480,195,1540,271,2,2
355255.jpg,0,1553,187,1619,255,2,1
355255.jpg,1,948,200,964,217,-1,-1
355289.jpg,0,0,567,103,658,0,4
355289.jpg,0,258,209,326,277,0,1
355289.jpg,0,447,205,510,293,0,3
355289.jpg,0,652,112,695,180,0,5
355289.jpg,0,681,142,733,226,0,2
355289.jpg,0,989,134,1018,221,2,4
355289.jpg,0,1045,233,1088,347,2,3
355289.jpg,0,1127,141,1166,224,2,5
355289.jpg,0,1480,195,1539,270,2,2
355289.jpg,0,1553,187,1619,255,2,1
355289.jpg,1,948,200,964,216,-1,-1
355322.jpg,0,0,567,103,658,0,4
355322.jpg,0,259,209,325,277,0,1
355322.jpg,0,447,205,511,292,0,3
355322.jpg,0,652,112,695,180,0,5
355322.jpg,0,681,142,733,226,0,2
355322.jpg,0,989,135,1018,222,2,4
355322.jpg,0,1045,233,1088,347,2,3
355322.jpg,0,1127,141,1165,224,2,5
355322.jpg,0,1480,195,1539,271,2,2
355322.jpg,0,1553,187,1619,255,2,1
355322.jpg,1,948,200,964,217,-1,-1
355355.jpg,0,0,567,103,658,0,4
355355.jpg,0,260,208,325,277,0,1
355355.jpg,0,447,205,511,292,0,3
355355.jpg,0,652,112,695,180,0,5
355355.jpg,0,681,142,733,226,0,2
355355.jpg,0,989,134,1018,221,2,4
355355.jpg,0,1045,233,1088,347,2,3
355355.jpg,0,1127,141,1165,224,2,5
355355.jpg,0,1480,195,1540,271,2,2
355355.jpg,0,1553,187,1619,255,2,1
355355.jpg,1,948,200,964,216,-1,-1
355389.jpg,0,0,567,103,658,0,4
355389.jpg,0,260,208,325,275,0,1
355389.jpg,0,447,205,511,292,0,3
355389.jpg,0,652,112,695,180,0,5
355389.jpg,0,681,142,733,226,0,2
355389.jpg,0,988,135,1018,221,2,4
355389.jpg,0,1045,233,1088,346,2,3
355389.jpg,0,1127,139,1165,223,2,5
355389.jpg,0,1480,195,1540,272,2,2
355389.jpg,0,1553,187,1619,255,2,1
355389.jpg,1,948,200,964,216,-1,-1
355422.jpg,0,0,567,103,658,0,4
355422.jpg,0,260,208,325,276,0,1
355422.jpg,0,447,206,511,292,0,3
355422.jpg,0,652,112,695,180,0,5
355422.jpg,0,681,142,733,226,0,2
355422.jpg,0,987,135,1018,221,2,4
355422.jpg,0,1045,234,1087,346,2,3
355422.jpg,0,1127,137,1166,223,2,5
355422.jpg,0,1480,195,1541,271,2,2
355422.jpg,0,1553,187,1618,255,2,1
355422.jpg,1,948,200,964,216,-1,-1
355455.jpg,0,0,567,103,658,0,4
355455.jpg,0,260,208,325,275,0,1
355455.jpg,0,446,207,511,292,0,3
355455.jpg,0,652,112,695,180,0,5
355455.jpg,0,681,142,733,226,0,2
355455.jpg,0,987,135,1018,221,2,4
355455.jpg,0,1045,235,1085,347,2,3
355455.jpg,0,1127,138,1165,222,2,5
355455.jpg,0,1481,196,1542,272,2,2
355455.jpg,0,1553,187,1618,255,2,1
355455.jpg,1,948,200,964,216,-1,-1
355489.jpg,0,0,567,103,658,0,4
355489.jpg,0,260,208,325,275,0,1
355489.jpg,0,444,207,511,292,0,3
355489.jpg,0,652,112,695,180,0,5
355489.jpg,0,681,142,733,226,0,2
355489.jpg,0,987,135,1018,221,2,4
355489.jpg,0,1044,237,1084,348,2,3
355489.jpg,0,1127,139,1165,221,2,5
355489.jpg,0,1481,196,1542,272,2,2
355489.jpg,0,1553,187,1618,255,2,1
355489.jpg,1,948,200,964,216,-1,-1
355522.jpg,0,0,567,103,658,0,4
355522.jpg,0,260,208,325,275,0,1
355522.jpg,0,443,207,512,293,0,3
355522.jpg,0,652,112,695,180,0,5
355522.jpg,0,681,142,733,226,0,2
355522.jpg,0,986,134,1018,221,2,4
355522.jpg,0,1044,238,1084,349,2,3
355522.jpg,0,1128,138,1165,220,2,5
355522.jpg,0,1481,196,1542,272,2,2
355522.jpg,0,1553,186,1618,255,2,1
355522.jpg,1,948,200,964,216,-1,-1
355556.jpg,0,0,567,103,658,0,4
355556.jpg,0,259,209,325,275,0,1
355556.jpg,0,442,207,512,293,0,3
355556.jpg,0,652,112,695,180,0,5
355556.jpg,0,681,142,733,226,0,2
355556.jpg,0,985,135,1019,220,2,4
355556.jpg,0,1044,238,1084,348,2,3
355556.jpg,0,1127,139,1165,220,2,5
355556.jpg,0,1480,196,1540,272,2,2
355556.jpg,0,1553,187,1618,255,2,1
355556.jpg,1,948,200,964,216,-1,-1
355589.jpg,0,0,567,103,658,0,4
355589.jpg,0,258,210,325,276,0,1
355589.jpg,0,443,207,511,293,0,3
355589.jpg,0,652,112,695,180,0,5
355589.jpg,0,681,142,733,226,0,2
355589.jpg,0,985,132,1018,219,2,4
355589.jpg,0,1043,238,1085,349,2,3
355589.jpg,0,1127,139,1166,221,2,5
355589.jpg,0,1479,196,1540,272,2,2
355589.jpg,0,1553,187,1618,255,2,1
355589.jpg,1,949,200,965,217,-1,-1
355622.jpg,0,0,567,103,658,0,4
355622.jpg,0,257,210,325,276,0,1
355622.jpg,0,443,207,510,293,0,3
355622.jpg,0,652,112,695,180,0,5
355622.jpg,0,681,142,733,226,0,2
355622.jpg,0,985,133,1019,218,2,4
355622.jpg,0,1044,238,1086,349,2,3
355622.jpg,0,1127,139,1167,222,2,5
355622.jpg,0,1477,196,1539,272,2,2
355622.jpg,0,1553,187,1618,255,2,1
355622.jpg,1,949,200,965,217,-1,-1
355656.jpg,0,0,567,103,658,0,4
355656.jpg,0,257,210,325,276,0,1
355656.jpg,0,443,207,508,293,0,3
355656.jpg,0,652,112,695,180,0,5
355656.jpg,0,681,142,733,226,0,2
355656.jpg,0,985,134,1020,219,2,4
355656.jpg,0,1044,238,1086,349,2,3
355656.jpg,0,1127,140,1167,223,2,5
355656.jpg,0,1475,196,1538,272,2,2
355656.jpg,0,1553,187,1618,255,2,1
355656.jpg,1,949,200,965,217,-1,-1
355689.jpg,0,0,567,103,658,0,4
355689.jpg,0,256,210,325,276,0,1
355689.jpg,0,444,206,508,293,0,3
355689.jpg,0,652,112,695,180,0,5
355689.jpg,0,681,142,733,226,0,2
355689.jpg,0,985,132,1019,217,2,4
355689.jpg,0,1044,238,1086,349,2,3
355689.jpg,0,1127,140,1167,223,2,5
355689.jpg,0,1475,195,1538,272,2,2
355689.jpg,0,1553,187,1618,255,2,1
355689.jpg,1,949,200,964,216,-1,-1
355722.jpg,0,0,567,103,658,0,4
355722.jpg,0,256,210,325,276,0,1
355722.jpg,0,444,205,508,293,0,3
355722.jpg,0,652,112,695,180,0,5
355722.jpg,0,681,142,733,226,0,2
355722.jpg,0,985,132,1018,217,2,4
355722.jpg,0,1042,238,1084,349,2,3
355722.jpg,0,1127,140,1168,223,2,5
355722.jpg,0,1475,194,1537,271,2,2
355722.jpg,0,1553,187,1618,255,2,1
355722.jpg,1,949,200,964,216,-1,-1
355756.jpg,0,0,567,103,658,0,4
355756.jpg,0,256,210,325,276,0,1
355756.jpg,0,444,205,508,292,0,3
355756.jpg,0,652,112,695,180,0,5
355756.jpg,0,681,142,733,226,0,2
355756.jpg,0,985,133,1019,217,2,4
355756.jpg,0,1040,237,1083,350,2,3
355756.jpg,0,1128,140,1169,223,2,5
355756.jpg,0,1475,193,1537,271,2,2
355756.jpg,0,1553,187,1618,255,2,1
355756.jpg,1,949,200,964,216,-1,-1
355789.jpg,0,0,567,103,658,0,4
355789.jpg,0,257,210,325,276,0,1
355789.jpg,0,443,204,508,291,0,3
355789.jpg,0,652,112,695,180,0,5
355789.jpg,0,681,142,733,226,0,2
355789.jpg,0,986,135,1018,218,2,4
355789.jpg,0,1037,236,1083,349,2,3
355789.jpg,0,1129,140,1170,223,2,5
355789.jpg,0,1475,193,1536,270,2,2
355789.jpg,0,1553,187,1618,255,2,1
355789.jpg,1,949,200,964,216,-1,-1
355822.jpg,0,0,567,103,658,0,4
355822.jpg,0,259,210,325,276,0,1
355822.jpg,0,443,204,508,291,0,3
355822.jpg,0,652,112,695,180,0,5
355822.jpg,0,681,142,733,226,0,2
355822.jpg,0,985,134,1019,219,2,4
355822.jpg,0,1035,235,1082,349,2,3
355822.jpg,0,1130,140,1170,223,2,5
355822.jpg,0,1475,193,1535,269,2,2
355822.jpg,0,1553,187,1618,255,2,1
355822.jpg,1,949,200,965,217,-1,-1
355856.jpg,0,0,567,103,658,0,4
355856.jpg,0,261,209,325,275,0,1
355856.jpg,0,444,204,508,290,0,3
355856.jpg,0,652,112,695,180,0,5
355856.jpg,0,681,142,733,226,0,2
355856.jpg,0,985,135,1019,219,2,4
355856.jpg,0,1034,234,1082,349,2,3
355856.jpg,0,1130,140,1170,223,2,5
355856.jpg,0,1475,193,1535,269,2,2
355856.jpg,0,1553,187,1618,255,2,1
355856.jpg,1,949,200,965,217,-1,-1
355889.jpg,0,0,567,103,658,0,4
355889.jpg,0,262,209,325,275,0,1
355889.jpg,0,444,205,508,290,0,3
355889.jpg,0,652,112,695,180,0,5
355889.jpg,0,681,142,733,226,0,2
355889.jpg,0,984,135,1019,219,2,4
355889.jpg,0,1034,234,1081,348,2,3
355889.jpg,0,1130,140,1170,223,2,5
355889.jpg,0,1475,193,1535,269,2,2
355889.jpg,0,1553,187,1618,255,2,1
355889.jpg,1,949,200,965,217,-1,-1
355923.jpg,0,0,567,103,658,0,4
355923.jpg,0,263,209,325,275,0,1
355923.jpg,0,444,205,508,290,0,3
355923.jpg,0,652,112,695,180,0,5
355923.jpg,0,681,142,733,226,0,2
355923.jpg,0,984,135,1020,219,2,4
355923.jpg,0,1034,233,1080,347,2,3
355923.jpg,0,1131,140,1170,223,2,5
355923.jpg,0,1475,194,1535,270,2,2
355923.jpg,0,1553,187,1618,255,2,1
355923.jpg,1,949,200,964,216,-1,-1
355956.jpg,0,0,567,103,658,0,4
355956.jpg,0,263,209,325,275,0,1
355956.jpg,0,444,206,508,291,0,3
355956.jpg,0,652,112,695,180,0,5
355956.jpg,0,681,142,733,226,0,2
355956.jpg,0,984,136,1020,219,2,4
355956.jpg,0,1034,233,1079,346,2,3
355956.jpg,0,1132,139,1170,223,2,5
355956.jpg,0,1475,194,1535,270,2,2
355956.jpg,0,1553,187,1618,255,2,1
355956.jpg,1,949,200,965,217,-1,-1
355989.jpg,0,0,567,103,658,0,4
355989.jpg,0,263,209,325,275,0,1
355989.jpg,0,444,206,508,291,0,3
355989.jpg,0,652,112,695,180,0,5
355989.jpg,0,681,142,733,226,0,2
355989.jpg,0,984,135,1020,218,2,4
355989.jpg,0,1034,233,1077,345,2,3
355989.jpg,0,1132,139,1170,223,2,5
355989.jpg,0,1475,195,1536,271,2,2
355989.jpg,0,1553,187,1618,255,2,1
355989.jpg,1,949,200,964,216,-1,-1
356023.jpg,0,0,567,103,658,0,4
356023.jpg,0,263,209,325,275,0,1
356023.jpg,0,442,207,508,291,0,3
356023.jpg,0,652,112,695,180,0,5
356023.jpg,0,681,142,733,226,0,2
356023.jpg,0,984,135,1020,219,2,4
356023.jpg,0,1034,233,1076,345,2,3
356023.jpg,0,1133,138,1171,222,2,5
356023.jpg,0,1475,195,1537,271,2,2
356023.jpg,0,1553,187,1618,255,2,1
356023.jpg,1,949,201,964,216,-1,-1
356056.jpg,0,0,567,103,658,0,4
356056.jpg,0,263,209,325,275,0,1
356056.jpg,0,442,207,509,292,0,3
356056.jpg,0,652,112,695,180,0,5
356056.jpg,0,681,142,733,226,0,2
356056.jpg,0,982,135,1020,219,2,4
356056.jpg,0,1032,234,1074,346,2,3
356056.jpg,0,1132,137,1171,222,2,5
356056.jpg,0,1476,195,1538,271,2,2
356056.jpg,0,1553,187,1618,255,2,1
356056.jpg,1,949,201,965,216,-1,-1
356089.jpg,0,0,567,103,658,0,4
356089.jpg,0,262,209,325,275,0,1
356089.jpg,0,442,207,509,292,0,3
356089.jpg,0,652,112,695,180,0,5
356089.jpg,0,681,142,733,226,0,2
356089.jpg,0,981,135,1019,219,2,4
356089.jpg,0,1029,234,1073,347,2,3
356089.jpg,0,1132,136,1171,221,2,5
356089.jpg,0,1477,196,1538,271,2,2
356089.jpg,0,1553,187,1618,255,2,1
356089.jpg,1,949,201,964,216,-1,-1
356123.jpg,0,0,567,103,658,0,4
356123.jpg,0,261,210,325,275,0,1
356123.jpg,0,443,207,509,292,0,3
356123.jpg,0,652,112,695,180,0,5
356123.jpg,0,681,142,733,226,0,2
356123.jpg,0,980,134,1019,219,2,4
356123.jpg,0,1027,235,1073,348,2,3
356123.jpg,0,1132,137,1171,221,2,5
356123.jpg,0,1477,196,1539,272,2,2
356123.jpg,0,1553,187,1618,255,2,1
356123.jpg,1,949,200,965,216,-1,-1
356156.jpg,0,0,567,103,658,0,4
356156.jpg,0,259,210,325,275,0,1
356156.jpg,0,443,207,511,292,0,3
356156.jpg,0,652,112,695,180,0,5
356156.jpg,0,681,142,733,226,0,2
356156.jpg,0,978,134,1019,220,2,4
356156.jpg,0,1027,235,1072,348,2,3
356156.jpg,0,1132,138,1171,221,2,5
356156.jpg,0,1477,196,1538,271,2,2
356156.jpg,0,1553,187,1618,255,2,1
356156.jpg,1,949,201,965,216,-1,-1
356190.jpg,0,0,567,103,658,0,4
356190.jpg,0,258,210,325,276,0,1
356190.jpg,0,444,207,512,292,0,3
356190.jpg,0,652,112,695,180,0,5
356190.jpg,0,681,142,733,226,0,2
356190.jpg,0,978,133,1018,218,2,4
356190.jpg,0,1028,235,1072,348,2,3
356190.jpg,0,1132,138,1172,221,2,5
356190.jpg,0,1476,196,1538,271,2,2
356190.jpg,0,1553,187,1618,255,2,1
356190.jpg,1,949,201,964,216,-1,-1
356223.jpg,0,0,567,103,658,0,4
356223.jpg,0,257,210,325,276,0,1
356223.jpg,0,445,206,515,292,0,3
356223.jpg,0,652,112,695,180,0,5
356223.jpg,0,681,142,733,226,0,2
356223.jpg,0,978,132,1017,217,2,4
356223.jpg,0,1027,235,1071,348,2,3
356223.jpg,0,1133,139,1173,222,2,5
356223.jpg,0,1474,195,1538,271,2,2
356223.jpg,0,1553,187,1618,255,2,1
356223.jpg,1,950,201,964,216,-1,-1
356256.jpg,0,0,567,103,658,0,4
356256.jpg,0,257,210,326,276,0,1
356256.jpg,0,446,206,515,292,0,3
356256.jpg,0,652,112,695,180,0,5
356256.jpg,0,681,142,733,226,0,2
356256.jpg,0,978,132,1017,215,2,4
356256.jpg,0,1027,236,1068,348,2,3
356256.jpg,0,1133,140,1174,222,2,5
356256.jpg,0,1473,195,1538,271,2,2
356256.jpg,0,1553,187,1618,255,2,1
356256.jpg,1,950,201,964,216,-1,-1
356290.jpg,0,0,567,103,658,0,4
356290.jpg,0,257,210,326,276,0,1
356290.jpg,0,447,205,515,292,0,3
356290.jpg,0,652,112,695,180,0,5
356290.jpg,0,681,142,733,226,0,2
356290.jpg,0,978,132,1017,215,2,4
356290.jpg,0,1026,235,1067,348,2,3
356290.jpg,0,1133,139,1175,223,2,5
356290.jpg,0,1472,195,1537,271,2,2
356290.jpg,0,1553,187,1618,255,2,1
356290.jpg,1,950,202,964,216,-1,-1
356323.jpg,0,0,567,103,658,0,4
356323.jpg,0,257,210,325,276,0,1
356323.jpg,0,448,204,516,291,0,3
356323.jpg,0,652,112,695,180,0,5
356323.jpg,0,681,142,733,226,0,2
356323.jpg,0,977,133,1017,215,2,4
356323.jpg,0,1022,235,1066,348,2,3
356323.jpg,0,1135,139,1176,223,2,5
356323.jpg,0,1473,194,1536,271,2,2
356323.jpg,0,1553,187,1618,255,2,1
356323.jpg,1,950,201,964,216,-1,-1
356356.jpg,0,0,567,103,658,0,4
356356.jpg,0,258,210,324,276,0,1
356356.jpg,0,449,204,516,290,0,3
356356.jpg,0,652,112,695,180,0,5
356356.jpg,0,681,142,733,226,0,2
356356.jpg,0,977,133,1017,215,2,4
356356.jpg,0,1018,235,1065,348,2,3
356356.jpg,0,1135,140,1177,223,2,5
356356.jpg,0,1473,193,1536,270,2,2
356356.jpg,0,1553,187,1618,255,2,1
356356.jpg,1,950,201,964,216,-1,-1
356390.jpg,0,0,567,103,658,0,4
356390.jpg,0,259,209,323,276,0,1
356390.jpg,0,450,204,515,289,0,3
356390.jpg,0,652,112,695,180,0,5
356390.jpg,0,681,142,733,226,0,2
356390.jpg,0,976,133,1016,215,2,4
356390.jpg,0,1017,234,1065,348,2,3
356390.jpg,0,1135,139,1177,223,2,5
