filename,label,x_min,y_min,x_max,y_max,color,number
798298.jpg,0,1173,200,1225,270,9,3
798298.jpg,0,1093,230,1129,317,9,2
798298.jpg,0,1567,283,1634,351,9,1
798298.jpg,0,1051,231,1084,315,1,4
798298.jpg,0,543,230,590,304,1,2
798298.jpg,0,258,284,322,355,1,1
798298.jpg,0,566,274,616,360,1,3
798298.jpg,1,1079,291,1095,307,-1,-1
798265.jpg,0,1173,200,1225,270,9,3
798265.jpg,0,1094,230,1128,318,9,2
798265.jpg,0,1567,283,1634,351,9,1
798265.jpg,0,1050,231,1083,314,1,4
798265.jpg,0,543,230,590,304,1,2
798265.jpg,0,257,284,322,355,1,1
798265.jpg,0,566,274,616,360,1,3
798265.jpg,1,1078,291,1095,307,-1,-1
798232.jpg,0,1172,200,1224,270,9,3
798232.jpg,0,1094,230,1128,319,9,2
798232.jpg,0,1567,283,1634,351,9,1
798232.jpg,0,1050,231,1082,314,1,4
798232.jpg,0,542,230,589,304,1,2
798232.jpg,0,257,284,322,355,1,1
798232.jpg,0,566,274,616,359,1,3
798232.jpg,1,1078,291,1095,307,-1,-1
798198.jpg,0,1173,200,1225,270,9,3
798198.jpg,0,1094,230,1129,319,9,2
798198.jpg,0,1567,283,1634,351,9,1
798198.jpg,0,1049,231,1082,314,1,4
798198.jpg,0,541,230,588,304,1,2
798198.jpg,0,257,284,322,355,1,1
798198.jpg,0,566,274,616,360,1,3
798198.jpg,1,1077,291,1094,307,-1,-1
798165.jpg,0,1173,200,1225,270,9,3
798165.jpg,0,1094,231,1130,319,9,2
798165.jpg,0,1567,283,1634,351,9,1
798165.jpg,0,1048,231,1082,314,1,4
798165.jpg,0,541,230,587,304,1,2
798165.jpg,0,257,284,322,355,1,1
798165.jpg,0,566,274,616,360,1,3
798165.jpg,1,1076,291,1093,307,-1,-1
798131.jpg,0,1173,200,1226,270,9,3
798131.jpg,0,1095,231,1132,319,9,2
798131.jpg,0,1567,283,1634,351,9,1
798131.jpg,0,1048,231,1082,314,1,4
798131.jpg,0,540,230,586,304,1,2
798131.jpg,0,257,284,322,355,1,1
798131.jpg,0,566,274,616,360,1,3
798131.jpg,1,1075,291,1092,307,-1,-1
798098.jpg,0,1174,200,1226,270,9,3
798098.jpg,0,1095,232,1133,319,9,2
798098.jpg,0,1567,283,1634,351,9,1
798098.jpg,0,1047,231,1081,315,1,4
798098.jpg,0,539,230,586,304,1,2
798098.jpg,0,257,284,322,355,1,1
798098.jpg,0,566,274,616,360,1,3
798098.jpg,1,1074,291,1092,307,-1,-1
798065.jpg,0,1174,200,1227,270,9,3
798065.jpg,0,1095,232,1134,320,9,2
798065.jpg,0,1567,283,1634,351,9,1
798065.jpg,0,1047,232,1081,315,1,4
798065.jpg,0,538,230,585,304,1,2
798065.jpg,0,257,284,322,355,1,1
798065.jpg,0,566,274,616,360,1,3
798065.jpg,1,1074,290,1091,307,-1,-1
798031.jpg,0,1175,200,1227,270,9,3
798031.jpg,0,1095,233,1136,320,9,2
798031.jpg,0,1567,283,1634,351,9,1
798031.jpg,0,1046,232,1081,315,1,4
798031.jpg,0,537,230,584,304,1,2
798031.jpg,0,257,284,322,355,1,1
798031.jpg,0,566,274,616,360,1,3
798031.jpg,1,1073,290,1090,307,-1,-1
797998.jpg,0,1175,200,1228,271,9,3
797998.jpg,0,1096,233,1137,320,9,2
797998.jpg,0,1567,283,1634,351,9,1
797998.jpg,0,1045,232,1080,315,1,4
797998.jpg,0,537,230,583,304,1,2
797998.jpg,0,257,284,322,355,1,1
797998.jpg,0,566,274,616,360,1,3
797998.jpg,1,1072,290,1089,307,-1,-1
797965.jpg,0,1176,200,1229,271,9,3
797965.jpg,0,1096,234,1138,320,9,2
797965.jpg,0,1567,283,1634,351,9,1
797965.jpg,0,1045,232,1080,315,1,4
797965.jpg,0,536,231,582,304,1,2
797965.jpg,0,257,284,322,355,1,1
797965.jpg,0,566,274,616,360,1,3
797965.jpg,1,1071,290,1089,307,-1,-1
797931.jpg,0,1176,200,1229,271,9,3
797931.jpg,0,1096,234,1140,320,9,2
797931.jpg,0,1567,283,1634,351,9,1
797931.jpg,0,1044,232,1080,316,1,4
797931.jpg,0,535,231,581,304,1,2
797931.jpg,0,257,284,322,355,1,1
797931.jpg,0,566,274,616,360,1,3
797931.jpg,1,1070,290,1088,307,-1,-1
797898.jpg,0,1177,200,1230,271,9,3
797898.jpg,0,1097,235,1141,320,9,2
797898.jpg,0,1567,283,1634,351,9,1
797898.jpg,0,1043,233,1080,316,1,4
797898.jpg,0,534,231,581,304,1,2
797898.jpg,0,257,284,322,355,1,1
797898.jpg,0,566,274,616,360,1,3
797898.jpg,1,1070,290,1087,307,-1,-1
797865.jpg,0,1176,200,1229,271,9,3
797865.jpg,0,1097,235,1142,320,9,2
797865.jpg,0,1567,283,1634,351,9,1
797865.jpg,0,1043,233,1079,316,1,4
797865.jpg,0,534,231,580,304,1,2
797865.jpg,0,257,284,322,355,1,1
797865.jpg,0,566,274,616,360,1,3
797865.jpg,1,1070,291,1087,308,-1,-1
797831.jpg,0,1176,200,1229,271,9,3
797831.jpg,0,1098,235,1142,320,9,2
797831.jpg,0,1567,283,1634,351,9,1
797831.jpg,0,1042,233,1078,316,1,4
797831.jpg,0,534,231,580,304,1,2
797831.jpg,0,257,284,322,355,1,1
797831.jpg,0,566,274,616,360,1,3
797831.jpg,1,1070,291,1087,308,-1,-1
797798.jpg,0,1176,200,1228,271,9,3
797798.jpg,0,1099,235,1142,320,9,2
797798.jpg,0,1567,283,1634,351,9,1
797798.jpg,0,1042,233,1077,316,1,4
797798.jpg,0,534,231,580,304,1,2
797798.jpg,0,257,284,322,355,1,1
797798.jpg,0,566,274,616,360,1,3
797798.jpg,1,1070,291,1087,308,-1,-1
797764.jpg,0,1175,200,1228,271,9,3
797764.jpg,0,1100,235,1143,319,9,2
797764.jpg,0,1567,283,1634,351,9,1
797764.jpg,0,1042,233,1077,316,1,4
797764.jpg,0,534,231,580,304,1,2
797764.jpg,0,257,284,322,355,1,1
797764.jpg,0,565,273,616,360,1,3
797764.jpg,1,1070,291,1087,309,-1,-1
797731.jpg,0,1175,200,1228,271,9,3
797731.jpg,0,1101,235,1143,319,9,2
