filename,label,x_min,y_min,x_max,y_max,color,number
127060.jpg,0,95,311,179,386,3,1
127060.jpg,0,179,306,264,382,3,5
127060.jpg,0,1009,109,1039,161,3,2
127060.jpg,0,1093,174,1131,245,3,4
127060.jpg,0,666,158,693,225,3,3
127060.jpg,0,1028,120,1053,176,2,4
127060.jpg,0,1085,131,1123,189,2,5
127060.jpg,0,1320,189,1366,256,2,3
127060.jpg,0,1385,210,1438,278,2,1
127060.jpg,0,303,297,373,390,2,2
127060.jpg,1,1301,226,1317,241,-1,-1
127094.jpg,0,96,311,181,385,3,1
127094.jpg,0,180,306,262,381,3,5
127094.jpg,0,1008,109,1039,160,3,2
127094.jpg,0,1093,174,1132,245,3,4
127094.jpg,0,665,158,692,224,3,3
127094.jpg,0,1027,121,1053,175,2,4
127094.jpg,0,1086,132,1123,189,2,5
127094.jpg,0,1319,190,1365,255,2,3
127094.jpg,0,1387,209,1438,278,2,1
127094.jpg,0,302,298,372,388,2,2
127094.jpg,1,1300,227,1317,240,-1,-1
127127.jpg,0,98,310,183,386,3,1
127127.jpg,0,181,306,264,383,3,5
127127.jpg,0,1008,109,1039,160,3,2
127127.jpg,0,1093,174,1133,245,3,4
127127.jpg,0,664,159,692,226,3,3
127127.jpg,0,1027,120,1052,174,2,4
127127.jpg,0,1087,133,1123,189,2,5
127127.jpg,0,1320,190,1366,254,2,3
127127.jpg,0,1385,209,1439,277,2,1
127127.jpg,0,303,299,371,387,2,2
127127.jpg,1,1301,227,1317,240,-1,-1
127160.jpg,0,100,310,186,386,3,1
127160.jpg,0,182,305,264,382,3,5
127160.jpg,0,1008,109,1039,160,3,2
127160.jpg,0,1094,174,1135,245,3,4
127160.jpg,0,663,159,692,225,3,3
127160.jpg,0,1027,120,1052,174,2,4
127160.jpg,0,1090,133,1125,189,2,5
127160.jpg,0,1320,189,1365,255,2,3
127160.jpg,0,1385,210,1439,280,2,1
127160.jpg,0,304,300,374,388,2,2
127160.jpg,1,1301,227,1317,240,-1,-1
127194.jpg,0,103,309,188,385,3,1
127194.jpg,0,183,303,265,382,3,5
127194.jpg,0,1008,109,1039,160,3,2
127194.jpg,0,1095,174,1135,246,3,4
127194.jpg,0,662,159,693,225,3,3
127194.jpg,0,1028,120,1052,175,2,4
127194.jpg,0,1089,133,1125,189,2,5
127194.jpg,0,1320,189,1364,253,2,3
127194.jpg,0,1385,210,1439,278,2,1
127194.jpg,0,303,301,373,387,2,2
127194.jpg,1,1301,226,1317,240,-1,-1
127227.jpg,0,107,307,189,385,3,1
127227.jpg,0,184,304,265,382,3,5
127227.jpg,0,1008,109,1039,160,3,2
127227.jpg,0,1095,174,1135,245,3,4
127227.jpg,0,661,159,693,225,3,3
127227.jpg,0,1027,120,1052,174,2,4
127227.jpg,0,1089,133,1125,189,2,5
127227.jpg,0,1320,189,1362,253,2,3
127227.jpg,0,1384,209,1438,278,2,1
127227.jpg,0,302,302,373,389,2,2
127227.jpg,1,1301,226,1317,239,-1,-1
127261.jpg,0,109,305,189,384,3,1
127261.jpg,0,185,303,265,382,3,5
127261.jpg,0,1009,109,1039,160,3,2
127261.jpg,0,1096,174,1135,245,3,4
127261.jpg,0,660,158,692,224,3,3
127261.jpg,0,1027,119,1052,174,2,4
127261.jpg,0,1089,133,1125,189,2,5
127261.jpg,0,1318,189,1365,255,2,3
127261.jpg,0,1385,210,1439,278,2,1
127261.jpg,0,302,301,376,390,2,2
127261.jpg,1,1301,227,1316,239,-1,-1
127294.jpg,0,109,305,189,382,3,1
127294.jpg,0,186,301,263,381,3,5
127294.jpg,0,1009,108,1039,160,3,2
127294.jpg,0,1097,174,1135,245,3,4
127294.jpg,0,659,158,693,223,3,3
127294.jpg,0,1027,120,1053,174,2,4
127294.jpg,0,1089,133,1125,189,2,5
127294.jpg,0,1316,189,1363,255,2,3
127294.jpg,0,1382,210,1439,278,2,1
127294.jpg,0,302,302,374,389,2,2
127294.jpg,1,1301,226,1317,240,-1,-1
127327.jpg,0,110,305,189,381,3,1
127327.jpg,0,187,301,265,381,3,5
127327.jpg,0,1011,107,1040,159,3,2
127327.jpg,0,1098,173,1135,246,3,4
127327.jpg,0,658,158,692,223,3,3
127327.jpg,0,1026,119,1053,173,2,4
127327.jpg,0,1090,133,1126,189,2,5
127327.jpg,0,1316,189,1361,254,2,3
127327.jpg,0,1385,210,1439,278,2,1
127327.jpg,0,302,303,372,388,2,2
127327.jpg,1,1301,226,1317,240,-1,-1
127361.jpg,0,110,304,188,378,3,1
127361.jpg,0,187,300,264,380,3,5
127361.jpg,0,1010,107,1041,158,3,2
127361.jpg,0,1098,172,1134,246,3,4
127361.jpg,0,658,158,693,225,3,3
127361.jpg,0,1026,120,1053,173,2,4
127361.jpg,0,1091,133,1126,190,2,5
127361.jpg,0,1316,189,1360,254,2,3
127361.jpg,0,1385,209,1438,279,2,1
127361.jpg,0,300,302,374,390,2,2
127361.jpg,1,1300,226,1317,240,-1,-1
127394.jpg,0,110,304,189,378,3,1
127394.jpg,0,187,301,264,381,3,5
127394.jpg,0,1010,107,1041,158,3,2
127394.jpg,0,1097,170,1133,244,3,4
127394.jpg,0,657,159,694,224,3,3
127394.jpg,0,1026,120,1054,174,2,4
127394.jpg,0,1091,134,1126,191,2,5
127394.jpg,0,1316,189,1361,254,2,3
127394.jpg,0,1386,210,1438,278,2,1
127394.jpg,0,301,302,373,388,2,2
127394.jpg,1,1300,227,1316,240,-1,-1
127427.jpg,0,109,304,187,375,3,1
127427.jpg,0,187,302,264,380,3,5
127427.jpg,0,1010,107,1041,158,3,2
127427.jpg,0,1097,169,1132,243,3,4
127427.jpg,0,657,159,693,224,3,3
127427.jpg,0,1025,120,1054,174,2,4
127427.jpg,0,1091,134,1126,191,2,5
127427.jpg,0,1316,189,1361,254,2,3
127427.jpg,0,1387,209,1438,278,2,1
127427.jpg,0,301,303,372,387,2,2
127427.jpg,1,1300,227,1316,240,-1,-1
127461.jpg,0,108,305,189,377,3,1
127461.jpg,0,187,303,264,380,3,5
127461.jpg,0,1010,107,1041,158,3,2
127461.jpg,0,1097,169,1133,241,3,4
127461.jpg,0,656,159,692,224,3,3
127461.jpg,0,1025,120,1054,174,2,4
127461.jpg,0,1091,134,1126,191,2,5
127461.jpg,0,1317,189,1359,254,2,3
127461.jpg,0,1387,210,1439,277,2,1
127461.jpg,0,302,301,373,389,2,2
127461.jpg,1,1300,227,1316,240,-1,-1
127494.jpg,0,108,304,187,375,3,1
127494.jpg,0,187,304,263,380,3,5
