filename,label,x_min,y_min,x_max,y_max,color,number
075576.jpg,0,288,330,346,407,5,1
075576.jpg,0,461,290,512,362,5,2
075576.jpg,0,623,269,673,339,5,5
075576.jpg,0,740,469,804,597,5,4
075576.jpg,0,830,262,855,336,5,3
075576.jpg,1,973,409,992,427,-1,-1
075576.jpg,0,1122,342,1174,438,1,2
075576.jpg,0,1438,310,1490,380,1,3
075576.jpg,0,1623,452,1710,555,1,5
075576.jpg,0,1688,387,1755,470,1,1
075576.jpg,0,1737,557,1858,667,1,4
075609.jpg,0,286,331,345,408,5,1
075609.jpg,0,461,290,512,362,5,2
075609.jpg,0,622,269,672,340,5,5
075609.jpg,0,739,469,805,596,5,4
075609.jpg,0,830,262,855,336,5,3
075609.jpg,1,973,409,992,427,-1,-1
075609.jpg,0,1122,342,1175,438,1,2
075609.jpg,0,1438,310,1490,380,1,3
075609.jpg,0,1623,452,1710,555,1,5
075609.jpg,0,1688,387,1756,470,1,1
075609.jpg,0,1736,557,1856,667,1,4
075642.jpg,0,285,331,345,409,5,1
075642.jpg,0,461,290,512,362,5,2
075642.jpg,0,622,269,672,340,5,5
075642.jpg,0,732,469,805,596,5,4
075642.jpg,0,830,262,855,336,5,3
075642.jpg,1,973,409,992,427,-1,-1
075642.jpg,0,1122,343,1175,438,1,2
075642.jpg,0,1438,310,1491,380,1,3
075642.jpg,0,1623,452,1710,555,1,5
075642.jpg,0,1688,387,1756,470,1,1
075642.jpg,0,1736,557,1855,667,1,4
075676.jpg,0,284,332,344,409,5,1
075676.jpg,0,462,290,512,362,5,2
075676.jpg,0,622,270,672,340,5,5
075676.jpg,0,733,469,806,598,5,4
075676.jpg,0,830,262,855,336,5,3
075676.jpg,1,973,409,992,427,-1,-1
075676.jpg,0,1122,343,1175,438,1,2
075676.jpg,0,1438,311,1491,380,1,3
075676.jpg,0,1623,452,1710,555,1,5
075676.jpg,0,1687,388,1756,470,1,1
075676.jpg,0,1736,557,1855,667,1,4
075709.jpg,0,283,332,344,410,5,1
075709.jpg,0,462,290,512,362,5,2
075709.jpg,0,621,270,671,340,5,5
075709.jpg,0,732,469,803,598,5,4
075709.jpg,0,830,262,855,336,5,3
075709.jpg,1,973,409,992,427,-1,-1
075709.jpg,0,1122,343,1176,438,1,2
075709.jpg,0,1439,311,1491,380,1,3
075709.jpg,0,1624,452,1710,556,1,5
075709.jpg,0,1687,388,1756,470,1,1
075709.jpg,0,1736,557,1854,667,1,4
075742.jpg,0,282,332,343,410,5,1
075742.jpg,0,462,290,512,362,5,2
075742.jpg,0,621,270,671,341,5,5
075742.jpg,0,729,469,801,598,5,4
075742.jpg,0,830,262,855,336,5,3
075742.jpg,1,973,409,992,427,-1,-1
075742.jpg,0,1122,343,1176,439,1,2
075742.jpg,0,1439,311,1492,381,1,3
075742.jpg,0,1624,452,1711,556,1,5
075742.jpg,0,1687,388,1757,470,1,1
075742.jpg,0,1735,556,1853,667,1,4
075776.jpg,0,281,333,343,411,5,1
075776.jpg,0,462,290,512,362,5,2
075776.jpg,0,621,270,671,341,5,5
075776.jpg,0,727,468,801,598,5,4
